Date,Open,High,Low,Close,Volume
27/7/09,17.4,16.99,16.99,16.99,0
28/7/09,16.99,17.89,17.24,17.24,1
29/7/09,17.24,16.97,16.97,16.97,0
30/7/09,16.97,16.66,16.66,16.66,0
31/7/09,16.66,16.5,16.5,16.5,500
3/8/09,16.5,16.5,16.48,16.48,10
5/8/09,16.48,16.4,16.39,16.4,102
6/8/09,16.4,17.4,16,17.35,48010
7/8/09,17.35,16.5,16.38,16.5,11
10/8/09,16.5,16.5,16.5,16.5,89
11/8/09,16.5,17,16.5,17,520
12/8/09,17,16.5,16.5,16.5,200
13/8/09,16.5,16.85,16,16.85,501
17/8/09,16.85,16.48,16.48,16.48,0
18/8/09,16.48,16.2,15.5,16.2,590
27/8/09,16.2,16.5,16.5,16.5,100
28/8/09,16.5,16.5,15.5,16.5,2200
2/9/09,16.5,15.75,15.75,15.75,100
3/9/09,15.75,15.1,15.1,15.1,100
4/9/09,15.1,14.76,14.75,14.75,546
7/9/09,14.75,14.5,14.5,14.5,1000
8/9/09,14.5,13.51,13.5,13.51,11
14/9/09,13.51,14.25,14.25,14.25,100
18/9/09,14.25,14.9,14.9,14.9,1000
25/9/09,14.9,14.05,14,14.05,2044
30/9/09,14.05,14.9,14.85,14.88,1999
6/10/09,14.88,14.75,14.75,14.75,0
14/10/09,14.75,14.85,14.85,14.85,1
20/10/09,14.85,14.5,14.02,14.5,100
26/10/09,14.5,14.5,13.5,14.5,240
28/10/09,14.5,13.6,13.6,13.6,2
29/10/09,13.6,14.5,14.45,14.48,1286
30/10/09,14.48,13.8,13.8,13.8,500
2/11/09,13.8,14.48,14.48,14.48,500
3/11/09,14.48,15.3,14.4,14.49,1100
4/11/09,14.49,15.22,15.22,15.22,100
5/11/09,15.22,16.2,15.9,16.2,1190
6/11/09,16.2,17,16.5,16.63,1010
10/11/09,16.63,16.9,16.9,16.9,100
11/11/09,16.9,17.3,17.3,17.3,200
12/11/09,17.3,17.25,17.25,17.25,0
16/11/09,17.25,17,16.3,16.72,400
17/11/09,16.72,16.95,16.75,16.81,700
18/11/09,16.81,16.25,15.81,16.25,660
19/11/09,16.25,16.58,16.58,16.58,100
20/11/09,16.58,16.75,15.8,16.5,1000
23/11/09,16.5,16.45,16.45,16.45,0
24/11/09,16.45,16.25,16.25,16.25,0
25/11/09,16.25,16.2,16.2,16.2,0
26/11/09,16.2,16.48,16.48,16.48,100
1/12/09,16.48,16.5,16.5,16.5,10
3/12/09,16.5,16.72,16.72,16.72,1
4/12/09,16.72,16.5,16.5,16.5,0
7/12/09,16.5,16.49,16.49,16.49,1
8/12/09,16.49,16.74,15.5,16.74,13
9/12/09,16.74,16.69,15.8,15.8,1002
10/12/09,15.8,16.65,16.65,16.65,10
11/12/09,16.65,17,15.71,16.23,12
14/12/09,16.23,16.78,16.75,16.75,2
15/12/09,16.75,16.9,16.9,16.9,2
16/12/09,16.9,16.8,15.9,16.78,102
17/12/09,16.78,17,15.81,16.96,4227
18/12/09,16.96,16.99,16.02,16.98,712
21/12/09,16.98,16.75,16.75,16.75,0
22/12/09,16.75,16.9,16.75,16.9,600
23/12/09,16.9,16.75,16,16.58,628
29/12/09,16.58,17.58,17.4,17.43,600
30/12/09,17.43,17.49,17.4,17.46,300
31/12/09,17.46,17.9,17.5,17.9,1502
4/1/10,17.9,18.35,18.35,18.35,10
